LRU - Fixed:
PID	Turnaround Time	# Faults	Fault Times
1	182		18		{0, 7, 19, 34, 57, 71, 83, 93, 103, 110, 121, 129, 137, 144, 151, 158, 167, 174}
2	98		8		{0, 8, 20, 35, 49, 61, 75, 87}
3	135		12		{0, 9, 21, 36, 51, 63, 76, 88, 99, 107, 115, 125}
4	64		5		{0, 10, 22, 37, 52}
5	77		6		{0, 11, 23, 38, 53, 65}
6	89		7		{0, 12, 25, 39, 54, 66, 78}
7	100		8		{0, 13, 26, 40, 55, 67, 79, 90}
8	190		18		{0, 14, 28, 41, 56, 69, 81, 91, 101, 108, 123, 135, 142, 149, 156, 167, 175, 183}
9	157		15		{0, 15, 30, 42, 57, 70, 82, 92, 102, 109, 120, 128, 136, 143, 150}
10	138		12		{0, 16, 31, 43, 58, 72, 84, 95, 104, 111, 122, 130}
11	123		10		{0, 17, 32, 44, 59, 73, 85, 96, 105, 112}
12	191		19		{0, 18, 33, 45, 60, 74, 86, 97, 106, 114, 124, 134, 141, 148, 155, 163, 170, 177, 184}

LRU - Variable:
PID	Turnaround Time	# Faults	Fault Times
1	168		15		{0, 7, 19, 34, 57, 71, 83, 94, 106, 119, 128, 138, 145, 153, 160}
2	99		8		{0, 8, 20, 35, 49, 61, 75, 87}
3	134		11		{0, 9, 21, 36, 51, 63, 76, 88, 100, 112, 125}
4	64		5		{0, 10, 22, 37, 52}
5	77		6		{0, 11, 23, 38, 53, 65}
6	89		7		{0, 12, 25, 39, 54, 66, 78}
7	91		7		{0, 13, 26, 40, 55, 67, 79}
8	163		13		{0, 14, 28, 41, 56, 69, 81, 92, 102, 120, 135, 142, 154}
9	144		11		{0, 15, 30, 42, 57, 70, 82, 93, 104, 127, 136}
10	139		11		{0, 16, 31, 43, 58, 72, 84, 96, 108, 120, 129}
11	121		9		{0, 17, 32, 44, 59, 73, 85, 97, 110}
12	187		17		{0, 18, 33, 45, 60, 74, 86, 98, 111, 123, 133, 140, 147, 156, 165, 172, 180}

Clock - Fixed:
PID	Turnaround Time	# Faults	Fault Times
1	183		18		{0, 7, 19, 34, 57, 71, 83, 93, 103, 111, 122, 130, 138, 145, 152, 159, 168, 175}
2	98		8		{0, 8, 20, 35, 49, 61, 75, 87}
3	136		12		{0, 9, 21, 36, 51, 63, 76, 88, 99, 108, 116, 126}
4	64		5		{0, 10, 22, 37, 52}
5	77		6		{0, 11, 23, 38, 53, 65}
6	89		7		{0, 12, 25, 39, 54, 66, 78}
7	100		8		{0, 13, 26, 40, 55, 67, 79, 90}
8	191		18		{0, 14, 28, 41, 56, 69, 81, 91, 101, 109, 124, 136, 143, 150, 157, 168, 176, 184}
9	158		15		{0, 15, 30, 42, 57, 70, 82, 92, 102, 110, 121, 129, 137, 144, 151}
10	131		11		{0, 16, 31, 43, 58, 72, 84, 95, 105, 112, 123}
11	124		10		{0, 17, 32, 44, 59, 73, 85, 96, 106, 113}
12	192		19		{0, 18, 33, 45, 60, 74, 86, 97, 107, 115, 125, 135, 142, 149, 156, 164, 171, 178, 185}

Clock - Variable:
PID	Turnaround Time	# Faults	Fault Times
1	168		15		{0, 7, 19, 34, 57, 71, 83, 94, 106, 119, 127, 137, 144, 153, 160}
2	99		8		{0, 8, 20, 35, 49, 61, 75, 87}
3	134		11		{0, 9, 21, 36, 51, 63, 76, 88, 100, 112, 125}
4	64		5		{0, 10, 22, 37, 52}
5	77		6		{0, 11, 23, 38, 53, 65}
6	89		7		{0, 12, 25, 39, 54, 66, 78}
7	91		7		{0, 13, 26, 40, 55, 67, 79}
8	177		15		{0, 14, 28, 41, 56, 69, 81, 92, 102, 120, 134, 141, 149, 161, 169}
9	151		12		{0, 15, 30, 42, 57, 70, 82, 93, 104, 126, 135, 142}
10	138		11		{0, 16, 31, 43, 58, 72, 84, 96, 108, 120, 128}
11	121		9		{0, 17, 32, 44, 59, 73, 85, 97, 110}
12	178		16		{0, 18, 33, 45, 60, 74, 86, 98, 111, 123, 133, 140, 148, 156, 163, 171}
